Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SCS01G01Z91,2025.06,-12943,FINAL,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G02121,2009.06,2278,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2010.06,2523,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2011.06,2745,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2012.06,2782,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2013.06,2514,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2014.06,2618,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2015.06,2392,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2016.06,2049,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2017.06,2063,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2018.06,1992,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2019.06,2169,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2020.06,2178,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2021.06,2349,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2022.06,2486,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2023.06,2752,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2024.06,2955,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02121,2025.06,3029,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Social security contributions,,,,,Dollars,6
GFSA.SCS01G02140,2009.06,579,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2010.06,439,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
GFSA.SCS01G02140,2011.06,396,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other income,,,,,Dollars,6
