Period,Anzsic,Anzsic_descriptor,Variable2,Units,Data_value,Gas,Variable1
2010.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),332,Carbon dioxide equivalents,Seasonally adjusted
2010.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),334,Carbon dioxide equivalents,Seasonally adjusted
2010.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),330,Carbon dioxide equivalents,Seasonally adjusted
2010.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),319,Carbon dioxide equivalents,Seasonally adjusted
2011.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),322,Carbon dioxide equivalents,Seasonally adjusted
2011.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),306,Carbon dioxide equivalents,Seasonally adjusted
2011.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),309,Carbon dioxide equivalents,Seasonally adjusted
2011.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),299,Carbon dioxide equivalents,Seasonally adjusted
2012.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),291,Carbon dioxide equivalents,Seasonally adjusted
2012.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),287,Carbon dioxide equivalents,Seasonally adjusted
2012.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),287,Carbon dioxide equivalents,Seasonally adjusted
2012.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),284,Carbon dioxide equivalents,Seasonally adjusted
2013.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),303,Carbon dioxide equivalents,Seasonally adjusted
2013.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),301,Carbon dioxide equivalents,Seasonally adjusted
2013.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),277,Carbon dioxide equivalents,Seasonally adjusted
2013.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),278,Carbon dioxide equivalents,Seasonally adjusted
2014.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),260,Carbon dioxide equivalents,Seasonally adjusted
2014.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),270,Carbon dioxide equivalents,Seasonally adjusted
2014.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),253,Carbon dioxide equivalents,Seasonally adjusted
2014.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),264,Carbon dioxide equivalents,Seasonally adjusted
2015.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),250,Carbon dioxide equivalents,Seasonally adjusted
2015.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),239,Carbon dioxide equivalents,Seasonally adjusted
2015.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),265,Carbon dioxide equivalents,Seasonally adjusted
2015.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),242,Carbon dioxide equivalents,Seasonally adjusted
2016.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),237,Carbon dioxide equivalents,Seasonally adjusted
2016.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),216,Carbon dioxide equivalents,Seasonally adjusted
2016.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),210,Carbon dioxide equivalents,Seasonally adjusted
2016.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),204,Carbon dioxide equivalents,Seasonally adjusted
2017.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),187,Carbon dioxide equivalents,Seasonally adjusted
2017.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),186,Carbon dioxide equivalents,Seasonally adjusted
2017.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),186,Carbon dioxide equivalents,Seasonally adjusted
2017.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),190,Carbon dioxide equivalents,Seasonally adjusted
2018.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),199,Carbon dioxide equivalents,Seasonally adjusted
2018.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),203,Carbon dioxide equivalents,Seasonally adjusted
2018.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),204,Carbon dioxide equivalents,Seasonally adjusted
2018.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),186,Carbon dioxide equivalents,Seasonally adjusted
2019.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),188,Carbon dioxide equivalents,Seasonally adjusted
2019.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),191,Carbon dioxide equivalents,Seasonally adjusted
2019.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),192,Carbon dioxide equivalents,Seasonally adjusted
2019.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),195,Carbon dioxide equivalents,Seasonally adjusted
2020.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),211,Carbon dioxide equivalents,Seasonally adjusted
2020.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),206,Carbon dioxide equivalents,Seasonally adjusted
2020.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),204,Carbon dioxide equivalents,Seasonally adjusted
2020.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),205,Carbon dioxide equivalents,Seasonally adjusted
2021.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),194,Carbon dioxide equivalents,Seasonally adjusted
2021.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),196,Carbon dioxide equivalents,Seasonally adjusted
2021.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),189,Carbon dioxide equivalents,Seasonally adjusted
2021.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),188,Carbon dioxide equivalents,Seasonally adjusted
2022.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),184,Carbon dioxide equivalents,Seasonally adjusted
2022.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),180,Carbon dioxide equivalents,Seasonally adjusted
2022.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),179,Carbon dioxide equivalents,Seasonally adjusted
2022.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),181,Carbon dioxide equivalents,Seasonally adjusted
2023.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),182,Carbon dioxide equivalents,Seasonally adjusted
2023.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),186,Carbon dioxide equivalents,Seasonally adjusted
2023.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),182,Carbon dioxide equivalents,Seasonally adjusted
2023.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),189,Carbon dioxide equivalents,Seasonally adjusted
2024.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),192,Carbon dioxide equivalents,Seasonally adjusted
2024.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),192,Carbon dioxide equivalents,Seasonally adjusted
2024.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),196,Carbon dioxide equivalents,Seasonally adjusted
2024.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),199,Carbon dioxide equivalents,Seasonally adjusted
2025.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),200,Carbon dioxide equivalents,Seasonally adjusted
2025.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),199,Carbon dioxide equivalents,Seasonally adjusted
2025.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),200,Carbon dioxide equivalents,Seasonally adjusted
2025.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),202,Carbon dioxide equivalents,Seasonally adjusted
2010.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5114,Carbon dioxide equivalents,Seasonally adjusted
2010.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5638,Carbon dioxide equivalents,Seasonally adjusted
2010.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5614,Carbon dioxide equivalents,Seasonally adjusted
2010.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5671,Carbon dioxide equivalents,Seasonally adjusted
2011.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5477,Carbon dioxide equivalents,Seasonally adjusted
2011.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5075,Carbon dioxide equivalents,Seasonally adjusted
2011.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5207,Carbon dioxide equivalents,Seasonally adjusted
2011.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5114,Carbon dioxide equivalents,Seasonally adjusted
2012.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4943,Carbon dioxide equivalents,Seasonally adjusted
2012.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4859,Carbon dioxide equivalents,Seasonally adjusted
2012.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4814,Carbon dioxide equivalents,Seasonally adjusted
2012.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4811,Carbon dioxide equivalents,Seasonally adjusted
2013.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5034,Carbon dioxide equivalents,Seasonally adjusted
2013.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5450,Carbon dioxide equivalents,Seasonally adjusted
2013.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5069,Carbon dioxide equivalents,Seasonally adjusted
2013.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5254,Carbon dioxide equivalents,Seasonally adjusted
2014.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5091,Carbon dioxide equivalents,Seasonally adjusted
2014.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5089,Carbon dioxide equivalents,Seasonally adjusted
2014.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4925,Carbon dioxide equivalents,Seasonally adjusted
2014.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4846,Carbon dioxide equivalents,Seasonally adjusted
2015.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4874,Carbon dioxide equivalents,Seasonally adjusted
2015.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4850,Carbon dioxide equivalents,Seasonally adjusted
2015.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4616,Carbon dioxide equivalents,Seasonally adjusted
2015.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4666,Carbon dioxide equivalents,Seasonally adjusted
2016.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4654,Carbon dioxide equivalents,Seasonally adjusted
2016.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4518,Carbon dioxide equivalents,Seasonally adjusted
2016.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4744,Carbon dioxide equivalents,Seasonally adjusted
2016.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4730,Carbon dioxide equivalents,Seasonally adjusted
2017.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4653,Carbon dioxide equivalents,Seasonally adjusted
2017.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5076,Carbon dioxide equivalents,Seasonally adjusted
2017.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5154,Carbon dioxide equivalents,Seasonally adjusted
2017.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5175,Carbon dioxide equivalents,Seasonally adjusted
2018.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5042,Carbon dioxide equivalents,Seasonally adjusted
2018.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4866,Carbon dioxide equivalents,Seasonally adjusted
2018.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4895,Carbon dioxide equivalents,Seasonally adjusted
2018.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4823,Carbon dioxide equivalents,Seasonally adjusted
2019.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4921,Carbon dioxide equivalents,Seasonally adjusted
2019.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5057,Carbon dioxide equivalents,Seasonally adjusted
2019.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5056,Carbon dioxide equivalents,Seasonally adjusted
2019.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5056,Carbon dioxide equivalents,Seasonally adjusted
2020.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),5037,Carbon dioxide equivalents,Seasonally adjusted
2020.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4956,Carbon dioxide equivalents,Seasonally adjusted
2020.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4743,Carbon dioxide equivalents,Seasonally adjusted
2020.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4801,Carbon dioxide equivalents,Seasonally adjusted
2021.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4778,Carbon dioxide equivalents,Seasonally adjusted
2021.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4711,Carbon dioxide equivalents,Seasonally adjusted
2021.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4932,Carbon dioxide equivalents,Seasonally adjusted
2021.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4953,Carbon dioxide equivalents,Seasonally adjusted
2022.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4884,Carbon dioxide equivalents,Seasonally adjusted
2022.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4879,Carbon dioxide equivalents,Seasonally adjusted
2022.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4767,Carbon dioxide equivalents,Seasonally adjusted
2022.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4654,Carbon dioxide equivalents,Seasonally adjusted
2023.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4522,Carbon dioxide equivalents,Seasonally adjusted
2023.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4523,Carbon dioxide equivalents,Seasonally adjusted
2023.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4385,Carbon dioxide equivalents,Seasonally adjusted
2023.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4320,Carbon dioxide equivalents,Seasonally adjusted
2024.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4258,Carbon dioxide equivalents,Seasonally adjusted
2024.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4070,Carbon dioxide equivalents,Seasonally adjusted
2024.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4010,Carbon dioxide equivalents,Seasonally adjusted
2024.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4035,Carbon dioxide equivalents,Seasonally adjusted
2025.03,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),4033,Carbon dioxide equivalents,Seasonally adjusted
2025.06,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),3965,Carbon dioxide equivalents,Seasonally adjusted
2025.09,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),3979,Carbon dioxide equivalents,Seasonally adjusted
2025.12,AA1,Agriculture,Emissions intensity,Tonnes per $1million value added (constant prices),3965,Carbon dioxide equivalents,Seasonally adjusted
2010.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),4038,Carbon dioxide equivalents,Seasonally adjusted
2010.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),4308,Carbon dioxide equivalents,Seasonally adjusted
2010.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),4272,Carbon dioxide equivalents,Seasonally adjusted
2010.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),4240,Carbon dioxide equivalents,Seasonally adjusted
2011.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),4113,Carbon dioxide equivalents,Seasonally adjusted
2011.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3881,Carbon dioxide equivalents,Seasonally adjusted
2011.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3974,Carbon dioxide equivalents,Seasonally adjusted
2011.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3939,Carbon dioxide equivalents,Seasonally adjusted
2012.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3833,Carbon dioxide equivalents,Seasonally adjusted
2012.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3749,Carbon dioxide equivalents,Seasonally adjusted
2012.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3717,Carbon dioxide equivalents,Seasonally adjusted
2012.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3695,Carbon dioxide equivalents,Seasonally adjusted
2013.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3825,Carbon dioxide equivalents,Seasonally adjusted
2013.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),4026,Carbon dioxide equivalents,Seasonally adjusted
2013.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3795,Carbon dioxide equivalents,Seasonally adjusted
2013.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3886,Carbon dioxide equivalents,Seasonally adjusted
2014.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3778,Carbon dioxide equivalents,Seasonally adjusted
2014.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3771,Carbon dioxide equivalents,Seasonally adjusted
2014.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3694,Carbon dioxide equivalents,Seasonally adjusted
2014.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3625,Carbon dioxide equivalents,Seasonally adjusted
2015.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3626,Carbon dioxide equivalents,Seasonally adjusted
2015.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3626,Carbon dioxide equivalents,Seasonally adjusted
2015.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3508,Carbon dioxide equivalents,Seasonally adjusted
2015.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3512,Carbon dioxide equivalents,Seasonally adjusted
2016.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3481,Carbon dioxide equivalents,Seasonally adjusted
2016.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3395,Carbon dioxide equivalents,Seasonally adjusted
2016.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3473,Carbon dioxide equivalents,Seasonally adjusted
2016.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3500,Carbon dioxide equivalents,Seasonally adjusted
2017.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3456,Carbon dioxide equivalents,Seasonally adjusted
2017.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3625,Carbon dioxide equivalents,Seasonally adjusted
2017.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3638,Carbon dioxide equivalents,Seasonally adjusted
2017.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3608,Carbon dioxide equivalents,Seasonally adjusted
2018.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3556,Carbon dioxide equivalents,Seasonally adjusted
2018.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3480,Carbon dioxide equivalents,Seasonally adjusted
2018.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3488,Carbon dioxide equivalents,Seasonally adjusted
2018.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3435,Carbon dioxide equivalents,Seasonally adjusted
2019.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3466,Carbon dioxide equivalents,Seasonally adjusted
2019.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3552,Carbon dioxide equivalents,Seasonally adjusted
2019.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3562,Carbon dioxide equivalents,Seasonally adjusted
2019.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3577,Carbon dioxide equivalents,Seasonally adjusted
2020.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3583,Carbon dioxide equivalents,Seasonally adjusted
2020.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3579,Carbon dioxide equivalents,Seasonally adjusted
2020.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3356,Carbon dioxide equivalents,Seasonally adjusted
2020.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3396,Carbon dioxide equivalents,Seasonally adjusted
2021.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3373,Carbon dioxide equivalents,Seasonally adjusted
2021.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3336,Carbon dioxide equivalents,Seasonally adjusted
2021.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3469,Carbon dioxide equivalents,Seasonally adjusted
2021.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3451,Carbon dioxide equivalents,Seasonally adjusted
2022.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3403,Carbon dioxide equivalents,Seasonally adjusted
2022.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3374,Carbon dioxide equivalents,Seasonally adjusted
2022.09,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3326,Carbon dioxide equivalents,Seasonally adjusted
2022.12,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3292,Carbon dioxide equivalents,Seasonally adjusted
2023.03,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3229,Carbon dioxide equivalents,Seasonally adjusted
2023.06,AAZ,"Agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),3232,Carbon dioxide equivalents,Seasonally adjusted
